Anonymous Customer ID,Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Churn,Customer Value
1,8,0,38,0,4370,71,5,17,3,1,1,0,132.6
2,0,0,39,0,318,5,7,4,2,1,2,0,17.46
3,10,0,37,0,2453,60,359,24,3,1,1,0,181.29
4,10,0,38,0,4198,66,1,35,1,1,1,0,252.48
5,3,0,38,0,2393,58,2,33,1,1,1,0,144.78
6,11,0,38,1,3775,82,32,28,3,1,1,0,122.85
7,4,0,38,0,2360,39,285,18,3,1,1,0,156.3
8,13,0,37,2,9115,121,144,43,3,1,1,0,316.65
9,7,0,38,0,13773,169,0,44,3,1,1,0,413.19
10,7,0,38,1,4515,83,2,25,3,1,1,0,136.05
11,6,0,38,0,5918,95,7,12,3,1,1,0,179.64
12,9,0,38,0,2238,54,8,17,3,1,2,0,69.54
13,25,0,38,3,15140,225,54,32,3,1,1,0,470.4
14,4,0,38,1,3095,27,483,8,3,1,1,0,237.75
15,9,0,37,0,15485,182,150,30,2,1,1,0,764.325
16,3,0,37,1,6500,86,186,26,3,1,1,0,250.8
17,0,0,37,0,875,14,0,11,2,1,2,1,39.375
18,2,0,38,0,710,14,13,8,3,1,2,0,25.2
19,0,0,37,0,0,0,0,0,2,1,2,1,0
20,3,0,37,0,7508,127,384,43,2,1,1,0,510.66
21,7,0,37,1,11465,154,11,47,4,1,1,0,173.625
22,8,0,37,1,6718,75,108,37,2,1,1,0,350.91
23,23,1,33,0,955,47,16,17,2,1,2,1,50.175
24,21,1,36,8,10435,93,1,42,5,2,1,0,52.225
25,13,1,36,1,5818,98,26,24,2,1,1,1,273.51
26,1,0,34,0,2840,22,0,14,3,1,1,0,85.2
27,9,0,35,0,2990,41,9,16,3,1,2,1,92.4
28,9,1,36,0,2268,44,34,31,3,1,2,1,78.24
29,0,0,36,0,133,2,0,2,3,1,2,1,3.99
30,1,0,36,0,1668,25,0,6,3,1,1,0,50.04
31,3,0,33,1,6785,97,14,22,5,1,1,0,34.625
32,0,1,36,0,628,7,9,4,4,1,2,1,10.77
33,0,0,36,1,338,4,4,2,5,1,1,0,1.89
34,25,0,31,3,16075,238,0,80,2,2,1,0,723.375
35,6,0,34,3,6965,116,271,33,2,2,1,0,435.375
36,2,0,36,0,3718,82,2,28,2,1,1,0,168.21
37,3,0,35,0,1665,44,38,20,3,1,2,0,61.35
38,6,0,36,0,2780,53,175,23,2,1,1,0,203.85
39,4,0,27,1,1315,36,193,11,2,2,1,0,146.025
40,4,0,26,0,1568,39,30,68,4,1,1,0,28.02
41,11,0,27,0,700,25,10,7,2,1,2,0,36
42,0,0,26,0,825,10,21,3,4,1,2,1,15.525
43,10,0,25,0,1225,32,19,13,2,1,1,0,63.675
44,2,0,25,0,3225,61,8,23,3,1,1,0,99.15
45,2,0,18,0,1695,26,28,14,2,1,1,0,88.875
46,16,0,17,1,6393,141,85,42,2,2,1,0,325.935
47,12,0,15,0,8933,171,73,40,4,1,1,0,144.945
48,8,0,16,3,2853,45,31,19,3,2,1,0,94.89
49,2,0,9,1,4390,40,215,10,3,1,1,0,196.2
50,3,0,9,1,1488,19,0,7,3,1,1,1,44.64
51,11,0,40,1,4430,74,10,19,3,1,1,0,135.9
52,3,0,41,1,378,8,12,6,3,1,1,0,14.94
53,13,0,39,1,2513,63,364,26,3,1,1,0,184.59
54,13,0,40,1,4258,69,6,37,1,1,1,0,259.08
55,6,0,40,1,2453,61,7,35,2,1,1,0,113.535
56,14,0,40,2,3835,85,37,30,3,2,1,0,126.15
57,7,0,40,1,2420,42,290,20,3,1,1,0,159.6
58,16,0,39,3,9175,124,149,45,3,1,1,0,319.95
59,10,0,40,1,13833,172,5,46,3,1,1,0,416.49
60,10,0,40,2,4575,86,7,27,3,1,1,0,139.35
61,9,0,40,1,5978,98,12,14,3,1,1,0,182.94
62,12,0,40,1,2298,57,13,19,3,1,1,0,72.84
63,28,0,40,4,15200,228,59,34,3,1,1,0,473.7
64,7,0,40,2,3155,30,488,10,3,1,1,0,241.05
65,12,0,39,1,15545,185,155,32,2,1,1,0,769.275
66,6,0,39,2,6560,89,191,28,3,1,1,0,254.1
67,3,0,39,1,935,17,5,13,2,1,1,0,44.325
68,5,0,40,1,770,17,18,10,3,1,1,0,28.5
69,3,1,39,1,60,3,5,2,2,1,1,1,4.95
70,6,0,39,1,7568,130,389,45,3,1,1,0,343.74
71,10,0,39,2,11525,157,16,49,4,2,1,0,175.275
72,11,0,39,2,6778,78,113,39,2,1,1,0,355.86
73,26,1,35,1,1015,50,21,19,3,1,1,1,36.75
74,24,1,38,9,10495,96,6,44,5,2,1,0,52.775
75,16,0,38,2,5878,101,31,26,2,1,1,0,278.46
76,4,0,36,1,2900,25,5,16,3,1,1,0,88.5
77,12,0,37,1,3050,44,14,18,3,1,1,1,95.7
78,12,1,38,1,2328,47,39,33,3,1,1,1,81.54
79,3,0,38,1,193,5,5,4,3,1,1,1,7.29
80,4,0,38,1,1728,28,5,8,4,1,1,0,26.67
81,6,0,35,2,6845,100,19,24,5,1,1,0,35.175
82,3,0,38,1,688,10,14,6,4,1,1,1,12.42
83,3,0,38,2,398,7,9,4,5,1,1,0,2.44
84,28,0,33,4,16135,241,5,82,2,1,1,0,728.325
85,9,1,36,4,7025,119,276,35,3,2,1,0,293.55
86,5,0,38,1,3778,85,7,30,3,1,1,0,115.44
87,6,0,37,1,1725,47,43,22,3,1,1,0,64.65
88,9,0,38,1,2840,56,180,25,2,1,1,0,208.8
89,7,0,29,2,1375,39,198,13,3,2,1,0,100.65
90,7,0,28,1,1628,42,35,70,4,1,1,0,29.67
91,14,0,29,1,760,28,15,9,3,1,1,0,27.3
92,3,0,28,1,885,13,26,5,4,1,1,0,17.175
93,13,0,27,1,1285,35,24,15,2,1,1,0,68.625
94,5,0,27,1,3285,64,13,25,3,1,1,0,102.45
95,5,0,20,1,1755,29,33,16,2,1,1,0,93.825
96,19,0,19,2,6453,144,90,44,2,2,1,0,330.885
97,15,0,17,1,8993,174,78,42,5,1,1,0,48.865
98,11,0,18,4,2913,48,36,21,3,1,1,0,98.19
99,5,0,11,2,4450,43,220,12,3,1,1,0,199.5
100,6,1,11,2,1548,22,5,9,3,1,1,1,47.94
101,5,0,36,0,4310,68,0,15,2,1,1,0,193.95
102,0,0,37,0,258,2,2,2,2,1,2,0,12.51
103,7,0,35,0,2393,57,354,22,2,1,1,0,266.985
104,7,0,36,0,4138,63,0,33,1,1,1,0,248.28
105,0,0,36,0,2333,55,0,31,1,1,1,0,139.98
106,8,0,36,0,3715,79,27,26,3,1,1,0,119.55
107,1,0,36,0,2300,36,280,16,3,1,1,0,153
108,10,0,35,1,9055,118,139,41,3,1,1,0,313.35
109,4,0,36,0,13713,166,0,42,3,1,1,0,411.39
110,4,0,36,0,4455,80,0,23,3,1,1,0,133.65
111,3,0,36,0,5858,92,2,10,2,1,1,0,264.51
112,6,1,36,0,2178,51,3,15,3,1,2,0,66.24
113,22,0,36,2,15080,222,49,30,3,1,1,0,467.1
114,1,0,36,0,3035,24,478,6,3,1,1,0,234.45
115,6,0,35,0,15425,179,145,28,2,1,1,0,759.375
116,0,0,35,0,6440,83,181,24,3,1,1,0,247.5
117,0,0,35,0,815,11,0,9,2,1,2,0,36.675
118,0,0,36,0,650,11,8,6,2,1,2,0,32.85
119,0,0,35,0,0,0,0,0,2,1,2,1,0
120,0,0,35,0,7448,124,379,41,2,1,1,0,505.71
121,4,0,35,0,11405,151,6,45,3,1,1,0,343.95
122,5,0,35,0,6658,72,103,35,2,1,1,0,345.96
123,20,0,31,0,895,44,11,15,2,1,2,1,45.225
124,18,0,34,7,10375,90,0,40,4,1,1,0,155.625
125,10,0,34,0,5758,95,21,22,2,1,1,1,268.56
126,0,0,32,0,2780,19,0,12,3,1,1,0,83.4
127,6,0,33,0,2930,38,4,14,2,1,2,1,133.65
128,6,1,34,0,2208,41,29,29,3,1,2,1,74.94
129,0,1,34,0,0,0,0,0,3,1,2,1,0
130,0,0,34,0,1608,22,0,4,3,1,1,0,48.24
131,0,0,31,0,6725,94,9,20,4,1,1,0,102.225
132,0,0,34,0,568,4,4,2,4,1,2,1,9.12
133,0,0,34,0,0,0,0,0,5,1,1,0,0
134,22,0,29,2,16015,235,0,78,2,1,1,0,720.675
135,3,0,32,2,6905,113,266,31,2,2,1,0,430.425
136,0,0,34,0,3658,79,0,26,2,1,1,0,164.61
137,0,0,33,0,1605,41,33,18,3,1,2,0,58.05
138,3,0,34,0,2720,50,170,21,2,1,1,0,198.9
139,1,0,25,0,1255,33,188,9,2,2,1,0,141.075
140,1,0,24,0,1508,36,25,66,4,1,1,0,26.37
141,8,0,25,0,640,22,5,5,2,1,2,0,31.05
142,0,1,24,0,765,7,16,1,4,1,2,1,13.875
143,7,0,23,0,1165,29,14,11,2,1,1,0,58.725
144,0,0,23,0,3165,58,3,21,3,1,1,0,95.85
145,0,0,16,0,1635,23,23,12,2,1,1,0,83.925
146,13,0,15,0,6333,138,80,40,1,2,1,0,427.98
147,9,0,13,0,8873,168,68,38,4,1,1,0,143.295
148,5,0,14,2,2793,42,26,17,3,1,1,0,91.59
